,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
LYZL2,302.0,71.0,0.8096514745308311,False
YEATS2-AS1,9.0,8.0,0.5294117647058824,True
DDX51,573.0,358.0,0.6154672395273899,True
LINC01429,4.0,0.0,1.0,False
GFPT2,580.0,186.0,0.7571801566579635,False
SP140,9.0,5.0,0.6428571428571429,False
TST,1412.0,727.0,0.6601215521271622,False
AC104435.2,4.0,0.0,1.0,False
ST3GAL6,2715.0,1476.0,0.6478167501789549,False
AL162742.2,1.0,0.0,1.0,False
CDYL2,1315.0,402.0,0.7658707047175306,False
DNAI1,14.0,6.0,0.7,False
RRM1,1467.0,745.0,0.6632007233273056,False
CCDC194,13.0,10.0,0.5652173913043478,True
KCTD18,592.0,342.0,0.6338329764453962,False
DCHS1,32.0,20.0,0.6153846153846154,True
TOB1,511.0,352.0,0.5921205098493627,True
CDK13,2991.0,1975.0,0.6022956101490133,True
LMLN2,4.0,0.0,1.0,False
ADM5,105.0,60.0,0.6363636363636364,False
AC012435.2,4.0,3.0,0.5714285714285714,True
TNFAIP8L3,33.0,16.0,0.673469387755102,False
AP005233.1,2.0,0.0,1.0,False
U62317.2,95.0,69.0,0.5792682926829268,True
PAPOLG,746.0,369.0,0.6690582959641256,False
PODNL1,9.0,5.0,0.6428571428571429,False
LINC01104,3.0,0.0,1.0,False
